Normal start with HEPAX

s     0    0193  1  201   -   0.800003C048.0.FD || 0000 00000000
s     1    0001  0  006   -   0.000003C048.0.FD || 0000 00000000
s     2    0002  1  2B5   -   0.000003C048.0.FD || 0000 00000000
s     3    0003  0  006   -   0.000003C048.0.FD || 0000 00000000
s     4    01AD  1  001   -   0.000003C048.0.FD || 0000 00000000
s     5    01AE  0  100   -   0.000003C048.0.FD || 0000 00000000
s     6    4000  1  000   -   0.000003C048.0.FD || 0000 00000000
s     7    01AF  1  2E0   -   0.000003C048.0.FD || 0000 00000000
s     8    01B0  1  3D5   -   0.000003C048.0.FD || 0000 00000000
s     9    01B1  0  00C   -   0.000003C048.0.FD || 0000 00000000
s    10    03F5  1  130   -   0.000003C048.0.FD || 0000 00000000
s    11    03F6  0  2FD   -   0.000003C048.0.FD || 0000 00000000
s    12    03F7  1  270   -   0.000003C048.0.FD || 0000 00000000
s    13    03F8  1  3F0   -   0.000003C048.2.FD || 0000 00000000
s    14    03F9  1  0B8   -   0.000003C048.2.FD || 0000 00000000
s    15    03FA  1  015   -   0.0000000000.0.00 || 0000 00000000
s    16    03FB  0  00A   -   0.0000000000.0.00 || 0000 00000000
s    17    0205  1  3C8   -   0.0000000000.0.00 || 0000 00000000
s    18    0206  1  3CC   -   0.0000000000.0.00 || 0000 00000000
s    19    0207  1  260   -   0.0000000000.0.00 || 0000 00000000
s    20    0208  1  046   -   0.0000000000.0.00 || 0000 00000000
s    21    0209  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s    22    020A  1  270   -   0.0000000000.0.00 || 0000 00000000
s    23    020B  1  130   -   0.0000000000.0.00 || 0000 00000000
s    24    020C  0  169   -   0.0000000000.0.00 || 0000 00000000
s    25    020D  1  106   -   0.0000000000.0.00 || 0000 00000000
s    26    020E  1  378   -   0.0000000000.1.69 || 0000 00000000
s    27    020F  1  17C   -   7.001006919C.1.97 || 0000 00000000
s    28    0210  1  366   -   F.FFF00FF19C.1.97 || 0000 00000000
s    29    0211  1  10F   -   C.197001A700.1.69 || 0000 00000000
s    30    0212  1  1BC   -   C.197001A700.1.69 || 0000 00000000
s    31    0213  1  266   -   0.197001A700.1.69 || 0000 00000000
s    32    0214  1  270   -   7.1A70000169.1.9C || 0000 00000000
s    33    0215  1  038   -   7.1A70000169.1.9B || 0000 00000000
s    34    0216  1  10E   -   0.0F40000454.8.52 || 0000 00000000
s    35    0217  1  2BA   -   0.0F40000454.8.52 || 0000 00000000
s    36    0218  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    37    0219  1  038   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    38    021A  1  2BA   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    39    021B  1  36E   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    40    021C  1  0B7   -   0.0F40000454.8.52 || 0000 00000000
s    41    021D  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    42    021E  1  046   -   0.0F40000454.8.52 || 0000 00000000
s    43    021F  1  270   -   0.0F40000454.8.52 || 0000 00000000
s    44    0220  1  3B8   -   0.0F40000454.0.00 || 0000 00000000
s    45    0221  1  358   -   0.000003C048.0.00 || 0000 00000000
s    46    0222  1  0CC   -   0.000003C048.0.00 || 0000 00000000
s    47    0223  1  3A0   -   0.000003C048.0.00 || 0000 00000000
s    48    01B2  1  3CC   -   0.000003C048.0.00 || 0000 00000000
s    49    01B3  1  03F   -   0.000003C048.0.00 || 0000 00000000
s    50    01BA  1  3B8   -   0.000003C048.0.00 || 0000 00000000
s    51    01BB  1  3F1   -   0.000003C048.0.00 || 0000 00000000
s    52    01BC  0  00C   -   0.000003C048.0.00 || 0000 00000000
s    53    03FC  1  046   -   0.000003C048.0.00 || 0000 00000000
s    54    03FD  1  3A8   -   0.000003C048.0.00 || 0000 00000000
s    55    03FE  1  309   -   0.000003C048.0.00 || 0000 00000000
s    56    03FF  0  0BA   -   0.000003C048.0.00 || 0000 00000000
s    57    2EC2  1  244   -   0.000003C048.0.00 || 0000 00000000
s    58    2EC3  1  3A1   -   0.000003C048.0.00 || 0000 00000000
s    59    2EC4  0  080   -   0.000003C048.0.00 || 0000 00000000
s    60    20E8  1  046   -   0.000003C048.0.00 || 0000 00000000
s    61    20E9  1  270   -   0.000003C048.0.00 || 0000 00000000
s    62    20EA  1  378   -   0.000003C048.0.00 || 0000 00000000
s    63    20EB  1  01C   -   7.001006919C.1.97 || 0000 00000000
s    64    20EC  1  110   -   7.001006919C.1.97 || 0000 00000000
s    65    20ED  1  270   -   7.001006919C.1.97 || 0000 00000000
s    66    20EE  1  01C   -   7.0010069194.1.97 || 0000 00000000
s    67    20EF  1  10A   -   7.0010069194.1.97 || 0000 00000000
s    68    20F0  1  038   -   7.0010069194.1.97 || 0000 00000000
s    69    20F1  1  3E0   -   C.2040009C60.0.20 || 0000 00000000
s    70    2EC5  1  0AA   -   C.2040009C60.0.20 || 0000 00000000
s    71    2EC6  1  070   -   C.2040009C60.0.20 || 0000 00000000
s    72    2EC7  1  004   -   C.2040009C64.1.97 || 0000 00000000
s    73    2EC8  1  10A   -   C.2040009C64.1.97 || 0000 00000000
s    74    2EC9  1  34D   -   C.2040009C64.1.97 || 0000 00000000
s    75    2ECA  0  0A4   -   C.2040009C64.1.97 || 0000 00000000
s    76    29D3  1  1A2   -   C.2040009C64.1.97 || 0000 00000000
s    77    29D4  1  037   -   C.2040009C64.1.97 || 0000 00000000
s    78    29D5  1  1A2   -   C.2040009C64.1.97 || 0000 00000000
s    79    29D6  1  1A2   -   C.2040009C64.1.97 || 0000 00000000
s    80    29D7  1  02F   -   C.2040009C64.1.97 || 0000 00000000
s    81    29D8  1  1A2   -   C.2040009C64.1.97 || 0000 00000000
s    82    29D9  1  3E0   -   C.2040009C64.1.97 || 0000 00000000
s    83    2ECB  1  2ED   -   C.2040009C64.1.97 || 0000 00000000
s    84    2ECC  0  0A4   -   C.2040009C64.1.97 || 0000 00000000
s    85    29BB  1  0AA   -   C.2040009C64.1.97 || 0000 00000000
s    86    29BC  1  10A   -   C.2040009C64.1.97 || 0000 00000000
s    87    29BD  1  270   -   C.2040009C60.1.97 || 0000 00000000
s    88    29BE  1  07C   -   C.2040009C60.1.97 || 0000 00000000
s    89    29BF  1  130   -   0.0000000000.1.97 || 0000 00000000
s    90    29C0  0  221   -   9.77300C2040.9.C6 || 0000 00000000
s    91    29C1  1  0FC   -   9.77300C2040.9.C6 || 0000 00000000
s    92    29C2  1  1E0   -   F.F7300C2040.2.21 || 0000 00000000
s    93    2210  1  038   -   C.2040002210.1.97 || 0000 00000000
s    94    2211  1  3E0   -   C.2040009C60.0.20 || 0000 00000000
s    95    2ECD  1  3D8   -   C.2040009C60.0.20 || 0000 00000000
s    96    2ECE  1  30C   -   C.2040009C60.0.20 || 0000 00000000
s    97    2ECF  1  027   -   C.2040009C60.0.00 || 0000 00000000
s    98    2ED0  1  104   -   C.2040009C60.0.00 || 0000 00000000
s    99    2ED1  1  3D8   -   C.2040009C60.0.00 || 0000 00000000
s   100    2ED2  1  033   -   C.2040009C60.0.00 || 0000 00000000
s   101    2ED8  1  0B0   -   C.2040009C60.0.20 || 0000 00000000
s   102    2ED9  1  10E   -   C.2040009C60.0.20 || 0000 00000000
s   103    2EDA  1  139   -   C.2040009C64.1.97 || 0000 00000000
s   104    2EDB  0  088   -   C.2040009C64.1.97 || 0000 00000000
s   105    224E  1  0AA   -   C.2040009C64.1.97 || 0000 00000000
s   106    224F  1  3C3   -   C.2040009C64.1.97 || 0000 00000000
s   107    2247  1  10A   -   C.2040009C64.1.97 || 0000 00000000
s   108    2248  1  270   -   C.2040009C64.1.97 || 0000 00000000
s   109    2249  1  07C   -   C.2040009C64.1.97 || 0000 00000000
s   110    224A  1  130   -   0.0000000004.1.97 || 0000 00000000
s   111    224B  0  220   -   9.77300C2040.9.C6 || 0000 00000000
s   112    224C  1  0FC   -   9.77300C2040.9.C6 || 0000 00000000
s   113    224D  1  1E0   -   F.F7300C2040.2.20 || 0000 00000000
s   114    2204  1  038   -   C.2040002204.1.97 || 0000 00000000
s   115    2205  1  103   -   C.2040009C60.0.20 || 0000 00000000
s   116    2225  1  23C   -   C.2040009C60.0.20 || 0000 00000000
s   117    2226  1  3E0   -   0.0000000000.0.20 || 0000 00000000
s   118    2EDC  1  2E6   -   7.3C2000409C.6.00 || 0000 00000000
s   119    2EDD  1  303   -   7.3C2000409C.6.00 || 0000 00000000
s   120    2EDE  1  0D5   -   7.3C2000409C.6.00 || 0000 00000000
s   121    2EDF  0  088   -   7.3C2000409C.6.00 || 0000 00000000
s   122    2235  1  042   -   7.3C2000409C.6.00 || 0000 00000000
s   123    2236  1  1EA   -   7.3C2000409C.6.00 || 0000 00000000
s   124    2237  1  1EA   -   7.3C20004090.6.00 || 0000 00000000
s   125    2238  1  1EA   -   7.3C20004090.C.00 || 0000 00000000
s   126    2239  1  222   -   7.3C20004091.8.00 || 0000 00000000
s   127    223A  1  1E2   -   7.3C20004093.0.00 || 0000 00000000
s   128    223B  1  1E6   -   7.3C20004094.0.00 || 0000 00000000
s   129    223C  1  01F   -   7.3C20004098.0.00 || 0000 00000000
s   130    223D  1  3C6   -   7.3C20004098.0.00 || 0000 00000000
s   131    223E  1  01B   -   7.3C20004098.0.00 || 0000 00000000
s   132    2241  1  20A   -   7.3C20004098.0.00 || 0000 00000000
s   133    2242  1  01B   -   7.3C20004098.0.00 || 0000 00000000
s   134    2245  1  262   -   7.3C2000409C.1.97 || 0000 00000000
s   135    2246  1  262   -   7.3C2000409C.1.97 || 0000 00000000
s   136    2247  1  10A   -   7.3C2000409B.1.97 || 0000 00000000
s   137    2248  1  270   -   7.3C2000409A.1.97 || 0000 00000000
s   138    2249  1  07C   -   7.3C2000409A.1.97 || 0000 00000000
s   139    224A  1  130   -   F.FFF00FFFFA.1.97 || 0000 00000000
s   140    224B  0  220   -   9.7200073C20.4.09 || 0000 00000000
s   141    224C  1  0FC   -   9.7200073C20.4.09 || 0000 00000000
s   142    224D  1  1E0   -   F.F200073C20.2.20 || 0000 00000000
s   143    220A  1  038   -   7.3C2000220A.1.97 || 0000 00000000
s   144    220B  1  0A3   -   C.2040009C60.0.20 || 0000 00000000
s   145    221F  1  13C   -   C.2040009C60.0.20 || 0000 00000000
s   146    2220  1  3E0   -   0.0000009C60.0.20 || 0000 00000000
s   147    2EE0  1  23E   -   C.600002073C.2.04 || 0000 00000000
s   148    2EE1  1  2D7   -   C.600002073C.2.04 || 0000 00000000
s   149    2EE2  1  0AA   -   C.600002073C.2.04 || 0000 00000000
s   150    2EE3  1  10A   -   C.600002073C.2.04 || 0000 00000000
s   151    2EE4  1  070   -   C.600002073A.1.97 || 0000 00000000
