XF 000 from keyboard

s     0    0193  1  201   -   0.00000013C0.0.FD || 0000 00000000
s     1    0001  0  006   -   0.0000000000.0.00 || 0000 00000000
s     2    0180  1  001   -   0.0000000000.0.00 || 0000 00000000
s     3    0181  0  100   -   0.0000000000.0.00 || 0000 00000000
s     4    4000  1  000   -   0.0000000000.0.00 || 0000 00000000
s     5    0182  1  3D5   -   0.0000000000.0.00 || 0000 00000000
s     6    0183  0  00C   -   0.0000000000.0.00 || 0000 00000000
s     7    03F5  1  130   -   0.0000000000.0.00 || 0000 00000000
s     8    03F6  0  2FD   -   0.0000000000.0.00 || 0000 00000000
s     9    03F7  1  270   -   0.0000000000.0.00 || 0000 00000000
s    10    03F8  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s    11    03F9  1  0B8   -   0.0000000000.0.00 || 0000 00000000
s    12    03FA  1  015   -   0.0000000000.0.00 || 0000 00000000
s    13    03FB  0  00A   -   0.0000000000.0.00 || 0000 00000000
s    14    0205  1  3C8   -   0.0000000000.0.00 || 0000 00000000
s    15    0206  1  3CC   -   0.0000000000.0.00 || 0000 00000000
s    16    0207  1  260   -   0.0000000000.0.00 || 0000 00000000
s    17    0208  1  046   -   0.0000000000.0.00 || 0000 00000000
s    18    0209  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s    19    020A  1  270   -   0.0000000000.0.00 || 0000 00000000
s    20    020B  1  130   -   0.0000000000.0.00 || 0000 00000000
s    21    020C  0  169   -   0.0000000000.0.00 || 0000 00000000
s    22    020D  1  106   -   0.0000000000.0.00 || 0000 00000000
s    23    020E  1  378   -   0.0000000000.1.69 || 0000 00000000
s    24    020F  1  17C   -   7.001006919C.1.97 || 0000 00000000
s    25    0210  1  366   -   F.FFF00FF19C.1.97 || 0000 00000000
s    26    0211  1  10F   -   C.197001A700.1.69 || 0000 00000000
s    27    0212  1  1BC   -   C.197001A700.1.69 || 0000 00000000
s    28    0213  1  266   -   0.197001A700.1.69 || 0000 00000000
s    29    0214  1  270   -   7.1A70000169.1.9C || 0000 00000000
s    30    0215  1  038   -   7.1A70000169.1.9B || 0000 00000000
s    31    0216  1  10E   -   0.0F40000454.8.52 || 0000 00000000
s    32    0217  1  2BA   -   0.0F40000454.8.52 || 0000 00000000
s    33    0218  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    34    0219  1  038   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    35    021A  1  2BA   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    36    021B  1  36E   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    37    021C  1  0B7   -   0.0F40000454.8.52 || 0000 00000000
s    38    021D  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    39    021E  1  046   -   0.0F40000454.8.52 || 0000 00000000
s    40    021F  1  270   -   0.0F40000454.8.52 || 0000 00000000
s    41    0220  1  3B8   -   0.0F40000454.0.00 || 0000 00000000
s    42    0221  1  358   -   0.001003C048.2.20 || 0000 00000000
s    43    0222  1  0CC   -   0.001003C048.2.20 || 0000 00000000
s    44    0223  1  3A0   -   0.001003C048.2.20 || 0000 00000000
s    45    0184  1  3CC   -   0.001003C048.2.20 || 0000 00000000
s    46    0185  1  10F   -   0.001003C048.2.20 || 0000 00000000
s    47    01A6  1  220   -   0.001003C048.2.20 || 0000 00000000
s    48    01A7  1  01C   -   0.001003C048.2.20 || 0000 00000000
s    49    01A8  1  1E2   -   0.001003C037.2.20 || 0000 00000000
s    50    01A9  1  015   -   0.001003C037.2.20 || 0000 00000000
s    51    01AA  0  032   -   0.001003C03E.2.20 || 0000 00000000
s    52    0C05  1  3B8   -   0.001003C03E.2.20 || 0000 00000000
s    53    0C06  1  33C   -   0.001003C048.2.20 || 0000 00000000
s    54    0C07  1  358   -   0.0000000000.0.00 || 0000 00000000
s    55    0C08  1  1A0   -   0.0000013C04.8.22 || 0000 00000000
s    56    0C09  1  220   -   0.0000013C04.8.22 || 0000 00000000
s    57    0C0A  1  0BC   -   0.0000000000.0.00 || 0000 00000000
s    58    0C0B  1  130   -   0.0000000037.0.00 || 0000 00000000
s    59    0C0C  0  0C1   -   0.0000000000.0.00 || 0000 00000000
s    60    0C0D  1  0FC   -   0.0000000000.0.00 || 0000 00000000
s    61    0C0E  1  01C   -   0.0000000000.0.C1 || 0000 00000000
s    62    0C0F  1  1E0   -   0.0000000C13.7.00 || 0000 00000000
s    63    0C13  1  050   -   0.0000000C13.7.00 || 0000 00000000
s    64    0C14  1  04B   -   0.0000000C13.7.00 || 0000 00000000
s    65    0C1D  1  33C   -   0.0000000C11.7.00 || 0000 00000000
s    66    0C1E  1  106   -   0.0000000000.0.00 || 0000 00000000
s    67    0C1F  1  04C   -   0.00000000C1.1.70 || 0000 00000000
s    68    0C20  1  023   -   0.00000000C1.1.70 || 0000 00000000
s    69    0C24  1  070   -   0.00000000C1.1.70 || 0000 00000000
s    70    0C25  1  08C   -   0.00000000C1.1.70 || 0000 00000000
s    71    0C26  1  183   -   0.00000000C1.1.70 || 0000 00000000
s    72    0C27  1  0AE   -   0.00000000C1.1.70 || 0000 00000000
s    73    0C28  1  31C   -   0.00000000C1.1.70 || 0000 00000000
s    74    0C29  1  1E2   -   0.0000000000.1.70 || 0000 00000000
s    75    0C2A  1  1EE   -   0.0000000000.1.70 || 0000 00000000
s    76    0C2B  1  1EE   -   0.0000000000.1.E0 || 0000 00000000
s    77    0C2C  1  1EE   -   0.0000000000.3.C0 || 0000 00000000
s    78    0C2D  1  2FC   -   0.0000000000.7.80 || 0000 00000000
s    79    0C2E  1  15C   -   0.0000000000.F.00 || 0000 00000000
s    80    0C2F  1  050   -   0.000000000F.0.00 || 0000 00000000
s    81    0C30  1  330   -   0.000000000F.0.00 || 0000 00000000
s    82    100F  0  020   -   0.000000100F.0.00 || 0000 00000000
s    83    0C31  1  33C   -   0.000000100F.0.00 || 0000 00000000
s    84    0C32  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s    85    0C33  1  1E6   -   0.0000000100.F.02 || 0000 00000000
s    86    0C34  1  10E   -   0.0000000100.E.04 || 0000 00000000
s    87    0C35  1  39C   -   0.0000000100.C.08 || 0000 00000000
s    88    0C36  1  3F8   -   0.0000000100.C.08 || 0000 00000000
s    89    0C37  1  03C   -   0.0000000025.0.00 || 0000 00000000
s    90    0C38  1  058   -   F.FFF00FFFFF.0.00 || 0000 00000000
s    91    0C39  1  142   -   0.0000000000.0.25 || 0000 00000000
s    92    0C3A  1  0A6   -   0.0000000000.0.25 || 0000 00000000
s    93    0C3B  1  358   -   0.0000000000.0.25 || 0000 00000000
s    94    0C3C  1  244   -   0.0000000000.C.0D || 0000 00000000
s    95    0C3D  1  3D9   -   0.0000000000.C.0D || 0000 00000000
s    96    0C3E  0  01C   -   0.0000000000.C.0D || 0000 00000000
s    97    07F6  1  130   -   0.0000000000.C.0D || 0000 00000000
s    98    07F7  0  010   -   0.0000000000.C.0D || 0000 00000000
s    99    07F8  1  270   -   0.0000000000.C.0D || 0000 00000000
s   100    07F9  1  130   -   0.0000000000.0.10 || 0000 00000000
s   101    07FA  0  0FD   -   0.0000000000.0.10 || 0000 00000000
s   102    07FB  1  3F0   -   0.0000000000.0.10 || 0000 00000000
s   103    07FC  1  3E0   -   0.0000000000.0.FD || 0000 00000000
s   104    0C3F  1  130   -   0.0000000000.0.FD || 0000 00000000
s   105    0C40  0  020   -   0.0000000000.0.FD || 0000 00000000
s   106    0C41  1  106   -   0.0000000000.0.FD || 0000 00000000
s   107    0C42  1  086   -   0.0000000000.0.20 || 0000 00000000
s   108    0C43  1  31C   -   0.0000000000.0.20 || 0000 00000000
s   109    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   110    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   111    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   112    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   113    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   114    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   115    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   116    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   117    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   118    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   119    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   120    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   121    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   122    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   123    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   124    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   125    0C45  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   126    0C46  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   127    0C44  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   128    0C45  1  36A   -   0.0000000000.0.1F || 0000 00000000
s   129    0C46  1  3F3   -   0.0000000000.0.1F || 0000 00000000
s   130    0C47  1  1AA   -   0.0000000000.0.1F || 0000 00000000
s   131    0C48  1  36A   -   0.0000000000.0.1F || 0000 00000000
s   132    0C49  1  037   -   0.0000000000.0.1F || 0000 00000000
s   133    0C4A  1  0C6   -   0.0000000000.0.1F || 0000 00000000
s   134    0C4B  1  3E8   -   0.0000000000.0.1F || 0000 00000000
s   135    0C4C  1  3A8   -   0.0000000000.0.20 || 0000 00000000
s   136    0C4D  1  3B8   -   0.0000000000.0.20 || 0000 00000000
s   137    0C4E  1  3D3   -   0.0000000000.0.30 || 0000 00000000
s   138    0C48  1  36A   -   0.0000000000.0.30 || 0000 00000000
s   139    0C49  1  037   -   0.0000000000.0.30 || 0000 00000000
s   140    0C4F  1  3F8   -   0.0000000000.0.30 || 0000 00000000
s   141    0C50  1  17E   -   0.0000000000.0.30 || 0000 00000000
s   142    0C51  1  360   -   0.0000000000.0.30 || 0000 00000000
s   143    0C52  1  1BE   -   0.0000000000.0.30 || 0000 00000000
s   144    0C53  1  1B0   -   0.0000000000.0.30 || 0000 00000000
s   145    0C54  1  23A   -   0.0000000000.0.30 || 0000 00000000
s   146    0C55  1  1E0   -   0.0000000E37.0.30 || 0000 00000000
s   147    0E38  1  00C   -   0.0000000E38.0.30 || 0000 00000000
s   148    0E39  1  027   -   0.0000000E38.0.30 || 0000 00000000
s   149    0E3D  1  04E   -   0.0000000E38.0.30 || 0000 00000000
s   150    0E3E  1  0BE   -   0.0000000E38.0.30 || 0000 00000000
s   151    0E3F  1  2FC   -   0.0000000000.0.00 || 0000 00000000
s   152    0E40  1  0D0   -   0.0000000000.0.00 || 0000 00000000
s   153    0E41  1  3E8   -   0.0000000000.0.00 || 0000 00000000
s   154    0E42  1  11B   -   0.0000000000.0.30 || 0000 00000000
s   155    0E65  1  2DC   -   0.0000000000.0.30 || 0000 00000000
s   156    0E66  1  3D0   -   0.0000000000.0.30 || 0000 00000000
s   157    0E67  1  31C   -   0.0000000000.0.30 || 0000 00000000
s   158    0E68  1  10E   -   0.0000000000.0.30 || 0000 00000000
s   159    0E69  1  3B8   -   0.0000000000.0.30 || 0000 00000000
s   160    0E6A  1  17E   -   0.0000000000.0.30 || 0000 00000000
s   161    0E6B  1  358   -   0.0000000000.0.30 || 0000 00000000
s   162    0E6C  1  04C   -   0.0000000000.0.30 || 0000 00000000
s   163    0E6D  1  3E7   -   0.0000000000.0.30 || 0000 00000000
s   164    0E69  1  3B8   -   0.0000000000.0.30 || 0000 00000000
s   165    0E6A  1  17E   -   0.0000000000.0.30 || 0000 00000000
s   166    0E6B  1  358   -   0.0000000000.0.30 || 0000 00000000
s   167    0E6C  1  04C   -   0.0000000000.0.30 || 0000 00000000
s   168    0E6D  1  3E7   -   0.0000000000.0.30 || 0000 00000000
s   169    0E69  1  3B8   -   0.0000000000.0.30 || 0000 00000000
s   170    0E6A  1  17E   -   0.0000000000.0.30 || 0000 00000000
s   171    0E6B  1  358   -   0.0000000000.0.30 || 0000 00000000
s   172    0E6C  1  04C   -   0.0000000000.0.30 || 0000 00000000
s   173    0E6D  1  3E7   -   0.0000000000.0.30 || 0000 00000000
s   174    0E69  1  3B8   -   0.0000000000.0.30 || 0000 00000000
s   175    0E6A  1  17E   -   0.0000000000.0.20 || 0000 00000000
s   176    0E6B  1  358   -   0.0000000000.0.20 || 0000 00000000
s   177    0E6C  1  04C   -   0.0000000000.0.20 || 0000 00000000
s   178    0E6D  1  3E7   -   0.0000000000.0.20 || 0000 00000000
s   179    0E6E  1  006   -   0.0000000000.0.20 || 0000 00000000
s   180    0E6F  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   181    0E70  1  042   -   0.0000000000.0.20 || 0000 00000000
s   182    0E71  1  056   -   0.0000000000.0.20 || 0000 00000000
s   183    0E72  1  146   -   0.0000000000.0.00 || 0000 00000000
s   184    0E73  1  1BE   -   0.0000000000.0.00 || 0000 00000000
s   185    0E74  1  047   -   0.0000000000.0.00 || 0000 00000000
s   186    0E75  1  0A6   -   0.0000000000.0.00 || 0000 00000000
s   187    0E76  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   188    0E77  1  106   -   0.0000000000.0.00 || 0000 00000000
s   189    0E78  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   190    0E79  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   191    0E7A  1  146   -   0.0000000000.0.00 || 0000 00000000
s   192    0E7B  1  3A3   -   0.0000000000.0.00 || 0000 00000000
s   193    0E6F  1  3F8   -   0.0000000000.0.00 || 0000 00000000
s   194    0E70  1  042   -   0.0000000000.0.30 || 0000 00000000
s   195    0E71  1  056   -   0.0000000000.0.30 || 0000 00000000
s   196    0E72  1  146   -   0.0000000000.0.00 || 0000 00000000
s   197    0E73  1  1BE   -   0.0000000000.0.00 || 0000 00000000
s   198    0E74  1  047   -   0.0000000000.0.00 || 0000 00000000
s   199    0E75  1  0A6   -   0.0000000000.0.00 || 0000 00000000
s   200    0E76  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   201    0E77  1  106   -   0.0000000000.0.00 || 0000 00000000
s   202    0E78  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   203    0E79  1  1E6   -   0.0000000000.0.00 || 0000 00000000
s   204    0E7A  1  146   -   0.0000000000.0.00 || 0000 00000000
s   205    0E7B  1  3A3   -   0.0000000000.0.00 || 0000 00000000
s   206    0E6F  1  3F8   -   0.0000000000.0.00 || 0000 00000000
s   207    0E70  1  042   -   0.0000000000.0.30 || 0000 00000000
