OFF then ON 2nd time, no error message

s     0    0193  1  201   -   0.00000003C0.0.FD || 0000 00000000
s     1    0001  0  006   -   0.0000000000.0.00 || 0000 00000000
s     2    0180  1  001   -   0.0000000000.0.00 || 0000 00000000
s     3    0181  0  100   -   0.0000000000.0.00 || 0000 00000000
s     4    4000  1  000   -   0.0000000000.0.00 || 0000 00000000
s     5    0182  1  3D5   -   0.0000000000.0.00 || 0000 00000000
s     6    0183  0  00C   -   0.0000000000.0.00 || 0000 00000000
s     7    03F5  1  130   -   0.0000000000.0.00 || 0000 00000000
s     8    03F6  0  2FD   -   0.0000000000.0.00 || 0000 00000000
s     9    03F7  1  270   -   0.0000000000.0.00 || 0000 00000000
s    10    03F8  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s    11    03F9  1  0B8   -   0.0000000000.0.00 || 0000 00000000
s    12    03FA  1  015   -   0.0000000000.0.00 || 0000 00000000
s    13    03FB  0  00A   -   0.0000000000.0.00 || 0000 00000000
s    14    0205  1  3C8   -   0.0000000000.0.00 || 0000 00000000
s    15    0206  1  3CC   -   0.0000000000.0.00 || 0000 00000000
s    16    0207  1  260   -   0.0000000000.0.00 || 0000 00000000
s    17    0208  1  046   -   0.0000000000.0.00 || 0000 00000000
s    18    0209  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s    19    020A  1  270   -   0.0000000000.0.00 || 0000 00000000
s    20    020B  1  130   -   0.0000000000.0.00 || 0000 00000000
s    21    020C  0  169   -   0.0000000000.0.00 || 0000 00000000
s    22    020D  1  106   -   0.0000000000.0.00 || 0000 00000000
s    23    020E  1  378   -   0.0000000000.1.69 || 0000 00000000
s    24    020F  1  17C   -   7.001006919C.1.94 || 0000 00000000
s    25    0210  1  366   -   F.FFF00FF19C.1.94 || 0000 00000000
s    26    0211  1  10F   -   C.194001A700.1.69 || 0000 00000000
s    27    0212  1  1BC   -   C.194001A700.1.69 || 0000 00000000
s    28    0213  1  266   -   0.194001A700.1.69 || 0000 00000000
s    29    0214  1  270   -   4.1A70000169.1.9C || 0000 00000000
s    30    0215  1  038   -   4.1A70000169.1.9B || 0000 00000000
s    31    0216  1  10E   -   0.0F40000454.8.52 || 0000 00000000
s    32    0217  1  2BA   -   0.0F40000454.8.52 || 0000 00000000
s    33    0218  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    34    0219  1  038   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    35    021A  1  2BA   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    36    021B  1  36E   -   F.F0B00FFBAB.8.52 || 0000 00000000
s    37    021C  1  0B7   -   0.0F40000454.8.52 || 0000 00000000
s    38    021D  1  2F0   -   0.0F40000454.8.52 || 0000 00000000
s    39    021E  1  046   -   0.0F40000454.8.52 || 0000 00000000
s    40    021F  1  270   -   0.0F40000454.8.52 || 0000 00000000
s    41    0220  1  3B8   -   0.0F40000454.0.00 || 0000 00000000
s    42    0221  1  358   -   0.000003C048.0.20 || 0000 00000000
s    43    0222  1  0CC   -   0.000003C048.0.20 || 0000 00000000
s    44    0223  1  3A0   -   0.000003C048.0.20 || 0000 00000000
s    45    0184  1  3CC   -   0.000003C048.0.20 || 0000 00000000
s    46    0185  1  10F   -   0.000003C048.0.20 || 0000 00000000
s    47    01A6  1  220   -   0.000003C048.0.20 || 0000 00000000
s    48    01A7  1  01C   -   0.000003C048.0.20 || 0000 00000000
s    49    01A8  1  1E2   -   0.000003C018.0.20 || 0000 00000000
s    50    01A9  1  015   -   0.000003C018.0.20 || 0000 00000000
s    51    01AA  0  032   -   0.000003C010.0.20 || 0000 00000000
s    52    01AB  1  321   -   0.000003C010.0.20 || 0000 00000000
s    53    01AC  0  046   -   0.000003C010.0.20 || 0000 00000000
s    54    11C8  1  2E0   -   0.000003C010.0.20 || 0000 00000000
s    55    11C9  1  130   -   0.000003C010.0.20 || 0000 00000000
s    56    11CA  0  009   -   0.000003C010.0.20 || 0000 00000000
s    57    11CB  1  399   -   0.000003C010.0.20 || 0000 00000000
s    58    11CC  0  09C   -   0.000003C010.0.09 || 0000 00000000
s    59    27E6  1  106   -   0.000003C010.0.09 || 0000 00000000
s    60    27E7  1  204   -   0.000003C010.0.09 || 0000 00000000
s    61    27E8  1  3B8   -   0.000003C010.0.09 || 0000 00000000
s    62    27E9  1  398   -   0.000003C048.0.20 || 0000 00000000
s    63    27EA  1  3A8   -   0.000003C048.0.20 || 0000 00000000
s    64    27EB  1  0A6   -   0.000003C048.0.20 || 0000 00000000
s    65    27EC  1  33C   -   0.000003C048.0.20 || 0000 00000000
s    66    27ED  1  1B0   -   0.0000000000.0.09 || 0000 00000000
s    67    27EE  1  2FC   -   0.0000003C04.8.00 || 0000 00000000
s    68    27EF  1  01C   -   0.00000011CD.8.00 || 0000 00000000
s    69    27F0  1  110   -   0.0000011CD8.0.09 || 0000 00000000
s    70    27F1  1  286   -   0.0000011CD8.0.09 || 0000 00000000
s    71    27F2  1  1BC   -   0.0000011CD4.0.09 || 0000 00000000
s    72    27F3  1  15C   -   0.0000011CD4.F.F7 || 0000 00000000
s    73    27F4  1  222   -   0.11C00D4FF7.0.00 || 0000 00000000
s    74    27F5  1  01B   -   0.11C00D4FF7.0.00 || 0000 00000000
s    75    27F8  1  330   -   0.11C00D5FF7.0.00 || 0000 00000000
s    76    5FF7  0  3CB   -   0.11C00D5FF7.0.00 || 0000 00000000
s    77    27F9  1  2E6   -   0.11C00D5FF7.0.00 || 0000 00000000
s    78    27FA  1  3D3   -   0.11C00D5FF7.3.CB || 0000 00000000
s    79    27FB  1  1E0   -   0.11C00D5FF7.3.CB || 0000 00000000
s    80    5FF7  1  3CB   -   0.11C00D5FF7.3.CB || 0000 00000000
s    81    5FF0  1  2D5   -   0.11C00D5FF7.3.CB || 0000 00000000
s    82    5FF1  0  17E   -   0.11C00D5FF7.3.CB || 0000 00000000
s    83    5FB5  1  14D   -   0.11C00D5FF7.3.CB || 0000 00000000
s    84    5FB6  0  14C   -   0.11C00D5FF7.3.CB || 0000 00000000
s    85    5353  1  158   -   0.11C00D5FF7.3.CB || 0000 00000000
s    86    5354  1  389   -   0.11C00D5FF7.3.CB || 0000 00000000
s    87    5355  0  140   -   0.11C00D5FF7.3.CB || 0000 00000000
s    88    50E2  1  130   -   0.11C00D5FF7.3.CB || 0000 00000000
s    89    50E3  0  010   -   0.11C00D5FF7.3.CB || 0000 00000000
s    90    50E4  1  270   -   0.11C00D5FF7.3.CB || 0000 00000000
s    91    50E5  1  130   -   0.11C00D5FF7.0.10 || 0000 00000000
s    92    50E6  0  0FB   -   0.11C00D5FF7.0.10 || 0000 00000000
s    93    50E7  1  3F0   -   0.11C00D5FF7.0.10 || 0000 00000000
s    94    50E8  1  3E8   -   0.11C00D5FF7.0.FB || 0000 00000000
s    95    50E9  1  3E0   -   0.11C00D5FF7.0.FB || 0000 00000000
s    96    5356  1  368   -   0.11C00D5FF7.0.FB || 0000 00000000
s    97    5357  1  0F8   -   0.11C00D5FF7.0.FB || 0000 00000000
s    98    5358  1  358   -   0.0000000000.1.40 || 0000 00000000
s    99    5359  1  3A8   -   0.0000000000.1.40 || 0000 00000000
s   100    535A  1  0B8   -   0.0000000000.1.40 || 0000 00000000
s   101    535B  1  10E   -   9.9990099999.0.00 || 0000 00000000
s   102    535C  1  04E   -   9.9990099999.0.00 || 0000 00000000
s   103    535D  1  2A0   -   9.9990099999.0.00 || 0000 00000000
s   104    535E  1  27A   -   0.0000000000.0.00 || 0000 00000000
s   105    535F  1  260   -   0.0000000000.0.00 || 0000 00000000
s   106    5360  1  36E   -   9.9990099999.0.00 || 0000 00000000
s   107    5361  1  01F   -   9.9990099999.0.00 || 0000 00000000
s   108    5362  1  08C   -   9.9990099999.0.00 || 0000 00000000
s   109    5363  1  3A0   -   9.9990099999.0.00 || 0000 00000000
s   110    5FB7  1  138   -   9.9990099999.0.00 || 0000 00000000
s   111    5FB8  1  358   -   0.0000000000.0.00 || 0000 00000000
s   112    5FB9  1  204   -   0.0000000000.0.00 || 0000 00000000
s   113    5FBA  1  384   -   0.0000000000.0.00 || 0000 00000000
s   114    5FBB  1  3D9   -   0.0000000000.0.00 || 0000 00000000
s   115    5FBC  0  01C   -   0.0000000000.0.00 || 0000 00000000
s   116    07F6  1  130   -   0.0000000000.0.00 || 0000 00000000
s   117    07F7  0  010   -   0.0000000000.0.00 || 0000 00000000
s   118    07F8  1  270   -   0.0000000000.0.00 || 0000 00000000
s   119    07F9  1  130   -   0.0000000000.0.10 || 0000 00000000
s   120    07FA  0  0FD   -   0.0000000000.0.10 || 0000 00000000
s   121    07FB  1  3F0   -   0.0000000000.0.10 || 0000 00000000
s   122    07FC  1  3E0   -   0.0000000000.0.FD || 0000 00000000
s   123    5FBD  1  178   -   0.0000000000.0.FD || 0000 00000000
s   124    5FBE  1  23C   -   0.0000000000.4.00 || 0000 00000000
s   125    5FBF  1  389   -   0.0000000000.0.00 || 0000 00000000
s   126    5FC0  0  140   -   0.0000000000.0.04 || 0000 00000000
s   127    50E2  1  130   -   0.0000000000.0.04 || 0000 00000000
s   128    50E3  0  010   -   0.0000000000.0.04 || 0000 00000000
s   129    50E4  1  270   -   0.0000000000.0.04 || 0000 00000000
s   130    50E5  1  130   -   0.0000000000.0.10 || 0000 00000000
s   131    50E6  0  0FB   -   0.0000000000.0.10 || 0000 00000000
s   132    50E7  1  3F0   -   0.0000000000.0.10 || 0000 00000000
s   133    50E8  1  3E8   -   0.0000000000.0.FB || 0000 00000000
s   134    50E9  1  3E0   -   0.0000000000.0.FB || 0000 00000000
s   135    5FC1  1  3A8   -   0.0000000000.0.FB || 0000 00000000
s   136    5FC2  1  1FE   -   0.0000000000.0.FB || 0000 00000000
s   137    5FC3  1  063   -   0.0000000000.0.FB || 0000 00000000
s   138    5FCF  1  04C   -   0.0000000000.0.FB || 0000 00000000
s   139    5FD0  1  3EB   -   0.0000000000.0.FB || 0000 00000000
s   140    5FCD  1  389   -   0.0000000000.0.FB || 0000 00000000
s   141    5FCE  0  0CE   -   0.0000000000.0.FB || 0000 00000000
s   142    33E2  1  398   -   0.0000000000.0.FB || 0000 00000000
s   143    33E3  1  128   -   0.0000000000.0.FB || 0000 00000000
s   144    33E4  1  3C4   -   0.0000000000.0.00 || 0000 00000000
s   145    33E5  1  288   -   0.0000000000.0.00 || 0000 00000000
s   146    33E6  1  2C4   -   0.0000000000.0.00 || 0000 00000000
s   147    33E7  1  0FD   -   0.0000000000.0.00 || 0000 00000000
s   148    33E8  0  17E   -   0.0000000000.0.00 || 0000 00000000
s   149    5F3F  1  185   -   0.0000000000.0.00 || 0000 00000000
s   150    5F40  0  168   -   0.0000000000.0.00 || 0000 00000000
s   151    5A61  1  04E   -   0.0000000000.0.00 || 0000 00000000
s   152    5A62  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s   153    5A63  1  0E0   -   0.0000000000.0.00 || 0000 00000000
s   154    5A64  1  2DC   -   0.0000000000.0.00 || 0000 00000000
s   155    5A65  1  0A0   -   0.0000000000.0.00 || 0000 00000000
s   156    5A66  1  130   -   0.0000000000.0.00 || 0000 00000000
s   157    5A67  0  0C0   -   0.0000000000.0.00 || 0000 00000000
s   158    5A68  1  108   -   0.0000000000.0.00 || 0000 00000000
s   159    5A69  1  35C   -   0.0000000000.0.C0 || 0000 00000000
s   160    5A6A  1  290   -   0.0000000000.0.C0 || 0000 00000000
s   161    5A6B  1  35C   -   0.0000000000.0.C0 || 0000 00000000
s   162    5A6C  1  10E   -   0.0000000000.0.C0 || 0000 00000000
s   163    5A6D  1  013   -   0.0000000000.0.C0 || 0000 00000000
s   164    5A6F  1  04E   -   0.0000000000.0.C0 || 0000 00000000
s   165    5A70  1  270   -   0.0000000000.0.C0 || 0000 00000000
s   166    5A71  1  378   -   0.0000000000.0.00 || 0000 00000000
s   167    5A72  1  306   -   7.001006919C.1.94 || 0000 00000000
s   168    5A73  1  07B   -   7.001006919C.1.94 || 0000 00000000
s   169    5A74  1  0A6   -   7.001006919C.1.94 || 0000 00000000
s   170    5A75  1  106   -   7.001006919C.1.94 || 0000 00000000
s   171    5A76  1  270   -   7.001006919C.0.C0 || 0000 00000000
s   172    5A77  1  038   -   7.001006919C.0.C0 || 0000 00000000
s   173    5A78  1  23E   -   0.0000000A1F.5.01 || 0000 00000000
s   174    5A79  1  3AF   -   0.0000000A1F.5.01 || 0000 00000000
s   175    5A6E  1  166   -   0.0000000A1F.5.01 || 0000 00000000
s   176    5A6F  1  04E   -   0.0000000A1F.5.01 || 0000 00000000
s   177    5A70  1  270   -   0.0000000A1F.5.01 || 0000 00000000
s   178    5A71  1  378   -   0.0000000000.0.00 || 0000 00000000
s   179    5A72  1  306   -   7.001006919C.1.94 || 0000 00000000
s   180    5A73  1  07B   -   7.001006919C.1.94 || 0000 00000000
s   181    5A74  1  0A6   -   7.001006919C.1.94 || 0000 00000000
s   182    5A75  1  106   -   7.001006919C.1.94 || 0000 00000000
s   183    5A76  1  270   -   7.001006919C.0.C1 || 0000 00000000
s   184    5A77  1  038   -   7.001006919C.0.C1 || 0000 00000000
s   185    5A78  1  23E   -   0.0000000000.0.00 || 0000 00000000
s   186    5A79  1  3AF   -   0.0000000000.0.00 || 0000 00000000
s   187    5A7A  1  27E   -   0.0000000000.0.00 || 0000 00000000
s   188    5A7B  1  362   -   0.0000000000.0.00 || 0000 00000000
s   189    5A7C  1  3A0   -   0.0000000000.0.00 || 0000 00000000
s   190    5A7D  1  0FC   -   0.0000000000.0.00 || 0000 00000000
s   191    5A7E  1  056   -   0.0000000000.0.00 || 0000 00000000
s   192    5A7F  1  146   -   0.0000000000.0.00 || 0000 00000000
s   193    5A80  1  2EE   -   0.0000000000.0.00 || 0000 00000000
s   194    5A81  1  377   -   0.0000000000.0.00 || 0000 00000000
s   195    5A82  1  10C   -   0.0000000000.0.00 || 0000 00000000
s   196    5A83  1  3A0   -   0.0000000000.0.00 || 0000 00000000
s   197    5A84  1  0A3   -   0.0000000000.0.00 || 0000 00000000
s   198    5A98  1  260   -   0.0000000000.0.00 || 0000 00000000
s   199    5A99  1  1B0   -   0.0000000000.0.00 || 0000 00000000
s   200    5A9A  1  23A   -   0.0000000000.0.00 || 0000 00000000
s   201    5A9B  1  1E0   -   0.0000005F41.0.00 || 0000 00000000
s   202    5F42  1  023   -   0.0000005F42.0.00 || 0000 00000000
s   203    5F46  1  389   -   0.0000005F42.0.00 || 0000 00000000
s   204    5F47  0  140   -   0.0000005F42.0.00 || 0000 00000000
s   205    50E2  1  130   -   0.0000005F42.0.00 || 0000 00000000
s   206    50E3  0  010   -   0.0000005F42.0.00 || 0000 00000000
